id,key,value,type
31064101,created_by,JOSM,regular
31064102,created_by,JOSM,regular
31064103,created_by,JOSM,regular
31064105,created_by,JOSM,regular
31064106,created_by,JOSM,regular
31064107,created_by,JOSM,regular
31064249,created_by,JOSM,regular
31064250,created_by,JOSM,regular
31064251,created_by,JOSM,regular
31069540,created_by,JOSM,regular
31069541,created_by,JOSM,regular
31069542,created_by,JOSM,regular
31069570,barrier,gate,regular
31069964,created_by,JOSM,regular
31071657,name,Dalkeith,regular
31071657,place,suburb,regular
31071658,name,Crawley,regular
31071658,place,suburb,regular
31071659,name,Nedlands,regular
31071659,place,suburb,regular
31071659,created_by,JOSM,regular
31091746,created_by,JOSM,regular
31091748,created_by,JOSM,regular
31091749,created_by,JOSM,regular
31091759,created_by,JOSM,regular
31091761,created_by,JOSM,regular
31091763,created_by,JOSM,regular
31091764,created_by,JOSM,regular
31091765,highway,traffic_signals,regular
31091794,created_by,JOSM,regular
31091820,created_by,JOSM,regular
31091822,created_by,JOSM,regular
31091823,created_by,JOSM,regular
31091832,created_by,JOSM,regular
31091835,created_by,JOSM,regular
31091838,created_by,JOSM,regular
31091842,created_by,JOSM,regular
31091870,created_by,JOSM,regular
31091877,created_by,JOSM,regular
31092835,highway,traffic_signals,regular
31092854,highway,traffic_signals,regular
31092866,highway,traffic_signals,regular
31093388,created_by,JOSM,regular
31093402,created_by,JOSM,regular
31093407,created_by,JOSM,regular
31093408,created_by,JOSM,regular
31128152,created_by,JOSM,regular
31128153,created_by,JOSM,regular
31128154,created_by,JOSM,regular
31128382,created_by,JOSM,regular
31128383,created_by,JOSM,regular
31128384,created_by,JOSM,regular
31128385,created_by,JOSM,regular
31128386,created_by,JOSM,regular
31128387,created_by,JOSM,regular
31128389,created_by,JOSM,regular
31128390,created_by,JOSM,regular
31128458,created_by,JOSM,regular
31128523,created_by,JOSM,regular
31128528,created_by,JOSM,regular
31128530,created_by,JOSM,regular
31128531,created_by,JOSM,regular
31128532,created_by,JOSM,regular
31128533,created_by,JOSM,regular
31128538,created_by,JOSM,regular
31128543,created_by,JOSM,regular
31128544,created_by,JOSM,regular
31128545,created_by,JOSM,regular
31128550,created_by,JOSM,regular
31128551,created_by,JOSM,regular
31128561,created_by,JOSM,regular
31128643,created_by,JOSM,regular
31128652,highway,turning_circle,regular
31128688,created_by,JOSM,regular
31128692,created_by,JOSM,regular
31128694,created_by,JOSM,regular
31128695,created_by,JOSM,regular
31128696,created_by,JOSM,regular
31128697,created_by,JOSM,regular
31128698,created_by,JOSM,regular
31128699,created_by,JOSM,regular
31128700,created_by,JOSM,regular
31128701,created_by,JOSM,regular
31128737,highway,traffic_signals,regular
31128747,highway,traffic_signals,regular
31128926,created_by,JOSM,regular
31128937,created_by,JOSM,regular
31128947,created_by,JOSM,regular
31128948,created_by,JOSM,regular
31128949,created_by,JOSM,regular
31128963,bicycle,yes,regular
31128963,highway,crossing,regular
31128963,crossing,traffic_signals,regular
31204100,created_by,JOSM,regular
31204119,highway,traffic_signals,regular
31204141,highway,traffic_signals,regular
31204167,created_by,JOSM,regular
31204172,highway,traffic_signals,regular
31204560,created_by,JOSM,regular
31204562,created_by,JOSM,regular
31204566,created_by,JOSM,regular
31204593,created_by,JOSM,regular
31204594,created_by,JOSM,regular
31204650,created_by,JOSM,regular
31204653,created_by,JOSM,regular
31204657,created_by,JOSM,regular
31204659,created_by,JOSM,regular
31204660,created_by,JOSM,regular
31204661,created_by,JOSM,regular
31204663,created_by,JOSM,regular
31204664,created_by,JOSM,regular
31204665,highway,traffic_signals,regular
31253439,created_by,JOSM,regular
31255151,created_by,JOSM,regular
31255170,created_by,JOSM,regular
31255329,created_by,JOSM,regular
31255330,created_by,JOSM,regular
31255331,created_by,JOSM,regular
31255332,created_by,JOSM,regular
31255333,created_by,JOSM,regular
31258409,highway,turning_circle,regular
31263183,highway,traffic_signals,regular
31263224,highway,traffic_signals,regular
31263338,highway,traffic_signals,regular
31280186,highway,traffic_signals,regular
31292061,highway,traffic_signals,regular
31292209,highway,traffic_signals,regular
31292217,created_by,JOSM,regular
31292218,created_by,JOSM,regular
31292606,created_by,JOSM,regular
31292607,created_by,JOSM,regular
31292609,created_by,JOSM,regular
31292610,created_by,JOSM,regular
31328327,created_by,JOSM,regular
31328329,highway,traffic_signals,regular
31328330,created_by,JOSM,regular
31335990,created_by,JOSM,regular
31336031,created_by,JOSM,regular
31336032,created_by,JOSM,regular
31336041,highway,turning_circle,regular
31337912,created_by,JOSM,regular
31337913,created_by,JOSM,regular
31337928,created_by,JOSM,regular
31337941,highway,traffic_signals,regular
31337968,highway,traffic_signals,regular
31337973,highway,traffic_signals,regular
31337977,highway,traffic_signals,regular
31337978,highway,traffic_signals,regular
31337989,highway,traffic_signals,regular
31337990,highway,traffic_signals,regular
31337994,highway,traffic_signals,regular
31337994,attribution,West Perth Business Map www.mineraldata.com.au,regular
31337998,highway,traffic_signals,regular
31337998,attribution,West Perth Business Map www.mineraldata.com.au,regular
31338007,highway,traffic_signals,regular
31340002,created_by,JOSM,regular
31340046,created_by,JOSM,regular
31340047,created_by,JOSM,regular
31340048,created_by,JOSM,regular
31340050,created_by,JOSM,regular
31340067,created_by,JOSM,regular
31340080,created_by,JOSM,regular
31340081,created_by,JOSM,regular
31340082,created_by,JOSM,regular
31342557,created_by,JOSM,regular
31342619,highway,traffic_signals,regular
31395779,highway,traffic_signals,regular
31395806,highway,traffic_signals,regular
31396533,created_by,JOSM,regular
31396534,created_by,JOSM,regular
31396535,created_by,JOSM,regular
31396537,created_by,JOSM,regular
31396541,created_by,JOSM,regular
31396548,highway,traffic_signals,regular
31396557,highway,traffic_signals,regular
31396633,created_by,JOSM,regular
31396667,created_by,JOSM,regular
31396684,created_by,JOSM,regular
31396685,created_by,JOSM,regular
31486940,crossing,island,regular
31486948,crossing,island,regular
31487078,highway,traffic_signals,regular
31487079,highway,traffic_signals,regular
31487081,highway,traffic_signals,regular
32025651,highway,traffic_signals,regular
32025694,highway,traffic_signals,regular
32033282,highway,traffic_signals,regular
32485723,highway,traffic_signals,regular
32485759,highway,traffic_signals,regular
32488899,created_by,JOSM,regular
32488912,created_by,JOSM,regular
32493993,highway,traffic_signals,regular
32494009,created_by,JOSM,regular
32494012,created_by,JOSM,regular
32494015,created_by,JOSM,regular
32494024,created_by,JOSM,regular
32494027,created_by,JOSM,regular
32494098,created_by,JOSM,regular
32494157,created_by,JOSM,regular
32494160,created_by,JOSM,regular
32494163,created_by,JOSM,regular
32494166,created_by,JOSM,regular
32494169,created_by,JOSM,regular
32494181,created_by,JOSM,regular
32494184,created_by,JOSM,regular
32494192,highway,traffic_signals,regular
32494213,created_by,JOSM,regular
32494217,created_by,JOSM,regular
32494220,created_by,JOSM,regular
32494226,created_by,JOSM,regular
32494232,created_by,JOSM,regular
32494235,created_by,JOSM,regular
32494241,created_by,JOSM,regular
32494250,created_by,JOSM,regular
32494253,highway,traffic_signals,regular
32494256,created_by,JOSM,regular
32494259,created_by,JOSM,regular
32494261,created_by,JOSM,regular
32494264,created_by,JOSM,regular
32494267,created_by,JOSM,regular
32494270,created_by,JOSM,regular
32494275,created_by,JOSM,regular
32494278,created_by,JOSM,regular
32494281,created_by,JOSM,regular
32494284,created_by,JOSM,regular
32494286,created_by,JOSM,regular
32494292,created_by,JOSM,regular
32494295,created_by,JOSM,regular
32494298,created_by,JOSM,regular
32494301,created_by,JOSM,regular
32519002,name,Fremantle,regular
32519002,place,town,regular
32519002,ja,フリーマントル,name
32519002,state,Western Australia,is_in
32519002,country,Australia,is_in
32519002,state_code,WA,is_in
32519002,country_code,AU,is_in
